NC;NN;MC;MN;V;D1C;D1N;D2C;D2N;D3C;D3N
1;Brasil;1722;Ponto percentual;0.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201607;mai-jun-jul 2016
1;Brasil;1722;Ponto percentual;0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201608;jun-jul-ago 2016
1;Brasil;1722;Ponto percentual;0.5;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201609;jul-ago-set 2016
1;Brasil;1722;Ponto percentual;0.2;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201610;ago-set-out 2016
1;Brasil;1722;Ponto percentual;0.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201611;set-out-nov 2016
1;Brasil;1722;Ponto percentual;0.2;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201612;out-nov-dez 2016
1;Brasil;1722;Ponto percentual;0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201701;nov-dez-jan 2017
1;Brasil;1722;Ponto percentual;1.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201702;dez-jan-fev 2017
1;Brasil;1722;Ponto percentual;1.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201703;jan-fev-mar 2017
1;Brasil;1722;Ponto percentual;1.0;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201704;fev-mar-abr 2017
1;Brasil;1722;Ponto percentual;0.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201705;mar-abr-mai 2017
1;Brasil;1722;Ponto percentual;-0.8;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201706;abr-mai-jun 2017
1;Brasil;1722;Ponto percentual;-0.8;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201707;mai-jun-jul 2017
1;Brasil;1722;Ponto percentual;-0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201708;jun-jul-ago 2017
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201709;jul-ago-set 2017
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201710;ago-set-out 2017
1;Brasil;1722;Ponto percentual;-0.5;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201711;set-out-nov 2017
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201712;out-nov-dez 2017
1;Brasil;1722;Ponto percentual;0.0;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201801;nov-dez-jan 2018
1;Brasil;1722;Ponto percentual;0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201802;dez-jan-fev 2018
1;Brasil;1722;Ponto percentual;1.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201803;jan-fev-mar 2018
1;Brasil;1722;Ponto percentual;0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201804;fev-mar-abr 2018
1;Brasil;1722;Ponto percentual;0.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201805;mar-abr-mai 2018
1;Brasil;1722;Ponto percentual;-0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201806;abr-mai-jun 2018
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201807;mai-jun-jul 2018
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201808;jun-jul-ago 2018
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201809;jul-ago-set 2018
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201810;ago-set-out 2018
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201811;set-out-nov 2018
1;Brasil;1722;Ponto percentual;-0.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201812;out-nov-dez 2018
1;Brasil;1722;Ponto percentual;0.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201901;nov-dez-jan 2019
1;Brasil;1722;Ponto percentual;0.8;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201902;dez-jan-fev 2019
1;Brasil;1722;Ponto percentual;1.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201903;jan-fev-mar 2019
1;Brasil;1722;Ponto percentual;0.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201904;fev-mar-abr 2019
1;Brasil;1722;Ponto percentual;-0.2;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201905;mar-abr-mai 2019
1;Brasil;1722;Ponto percentual;-0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201906;abr-mai-jun 2019
1;Brasil;1722;Ponto percentual;-0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201907;mai-jun-jul 2019
1;Brasil;1722;Ponto percentual;-0.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201908;jun-jul-ago 2019
1;Brasil;1722;Ponto percentual;-0.2;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201909;jul-ago-set 2019
1;Brasil;1722;Ponto percentual;-0.2;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201910;ago-set-out 2019
1;Brasil;1722;Ponto percentual;-0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201911;set-out-nov 2019
1;Brasil;1722;Ponto percentual;-0.8;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201912;out-nov-dez 2019
1;Brasil;1722;Ponto percentual;-0.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202001;nov-dez-jan 2020
1;Brasil;1722;Ponto percentual;0.5;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202002;dez-jan-fev 2020
1;Brasil;1722;Ponto percentual;1.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202003;jan-fev-mar 2020
1;Brasil;1722;Ponto percentual;1.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202004;fev-mar-abr 2020
1;Brasil;1722;Ponto percentual;1.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202005;mar-abr-mai 2020
1;Brasil;1722;Ponto percentual;1.2;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202006;abr-mai-jun 2020
1;Brasil;1722;Ponto percentual;1.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202007;mai-jun-jul 2020
1;Brasil;1722;Ponto percentual;1.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202008;jun-jul-ago 2020
1;Brasil;1722;Ponto percentual;1.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202009;jul-ago-set 2020
1;Brasil;1722;Ponto percentual;0.5;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202010;ago-set-out 2020
1;Brasil;1722;Ponto percentual;-0.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202011;set-out-nov 2020
1;Brasil;1722;Ponto percentual;-0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202012;out-nov-dez 2020
1;Brasil;1722;Ponto percentual;-0.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202101;nov-dez-jan 2021
1;Brasil;1722;Ponto percentual;0.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202102;dez-jan-fev 2021
1;Brasil;1722;Ponto percentual;0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202103;jan-fev-mar 2021
1;Brasil;1722;Ponto percentual;0.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202104;fev-mar-abr 2021
1;Brasil;1722;Ponto percentual;0.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202105;mar-abr-mai 2021
1;Brasil;1722;Ponto percentual;-0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202106;abr-mai-jun 2021
1;Brasil;1722;Ponto percentual;-1.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202107;mai-jun-jul 2021
1;Brasil;1722;Ponto percentual;-1.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202108;jun-jul-ago 2021
1;Brasil;1722;Ponto percentual;-1.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202109;jul-ago-set 2021
1;Brasil;1722;Ponto percentual;-1.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202110;ago-set-out 2021
1;Brasil;1722;Ponto percentual;-1.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202111;set-out-nov 2021
1;Brasil;1722;Ponto percentual;-1.5;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202112;out-nov-dez 2021
1;Brasil;1722;Ponto percentual;-0.9;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202201;nov-dez-jan 2022
1;Brasil;1722;Ponto percentual;-0.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202202;dez-jan-fev 2022
1;Brasil;1722;Ponto percentual;0.0;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202203;jan-fev-mar 2022
1;Brasil;1722;Ponto percentual;-0.7;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202204;fev-mar-abr 2022
1;Brasil;1722;Ponto percentual;-1.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202205;mar-abr-mai 2022
1;Brasil;1722;Ponto percentual;-1.8;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202206;abr-mai-jun 2022
1;Brasil;1722;Ponto percentual;-1.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202207;mai-jun-jul 2022
1;Brasil;1722;Ponto percentual;-0.9;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202208;jun-jul-ago 2022
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202209;jul-ago-set 2022
1;Brasil;1722;Ponto percentual;-0.8;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202210;ago-set-out 2022
1;Brasil;1722;Ponto percentual;-0.9;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202211;set-out-nov 2022
1;Brasil;1722;Ponto percentual;-0.8;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202212;out-nov-dez 2022
1;Brasil;1722;Ponto percentual;0.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202301;nov-dez-jan 2023
1;Brasil;1722;Ponto percentual;0.5;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202302;dez-jan-fev 2023
1;Brasil;1722;Ponto percentual;0.9;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202303;jan-fev-mar 2023
1;Brasil;1722;Ponto percentual;0.1;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202304;fev-mar-abr 2023
1;Brasil;1722;Ponto percentual;-0.3;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202305;mar-abr-mai 2023
1;Brasil;1722;Ponto percentual;-0.8;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202306;abr-mai-jun 2023
1;Brasil;1722;Ponto percentual;-0.6;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202307;mai-jun-jul 2023
1;Brasil;1722;Ponto percentual;-0.5;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202308;jun-jul-ago 2023
1;Brasil;1722;Ponto percentual;-0.4;1;Brasil;8811;Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;202309;jul-ago-set 2023
1;Brasil;;;...;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201203;jan-fev-mar 2012
1;Brasil;;;...;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201204;fev-mar-abr 2012
1;Brasil;;;...;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201205;mar-abr-mai 2012
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201206;abr-mai-jun 2012
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201207;mai-jun-jul 2012
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201208;jun-jul-ago 2012
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201209;jul-ago-set 2012
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201210;ago-set-out 2012
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201211;set-out-nov 2012
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201212;out-nov-dez 2012
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201301;nov-dez-jan 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201302;dez-jan-fev 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201303;jan-fev-mar 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201304;fev-mar-abr 2013
1;Brasil;1694;Nenhuma;A;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201305;mar-abr-mai 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201306;abr-mai-jun 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201307;mai-jun-jul 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201308;jun-jul-ago 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201309;jul-ago-set 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201310;ago-set-out 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201311;set-out-nov 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201312;out-nov-dez 2013
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201401;nov-dez-jan 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201402;dez-jan-fev 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201403;jan-fev-mar 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201404;fev-mar-abr 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201405;mar-abr-mai 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201406;abr-mai-jun 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201407;mai-jun-jul 2014
1;Brasil;1694;Nenhuma;A;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201408;jun-jul-ago 2014
1;Brasil;1694;Nenhuma;A;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201409;jul-ago-set 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201410;ago-set-out 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201411;set-out-nov 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201412;out-nov-dez 2014
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201501;nov-dez-jan 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201502;dez-jan-fev 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201503;jan-fev-mar 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201504;fev-mar-abr 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201505;mar-abr-mai 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201506;abr-mai-jun 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201507;mai-jun-jul 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201508;jun-jul-ago 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201509;jul-ago-set 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201510;ago-set-out 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201511;set-out-nov 2015
1;Brasil;1694;Nenhuma;A;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201512;out-nov-dez 2015
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201601;nov-dez-jan 2016
1;Brasil;1694;Nenhuma;Z;1;Brasil;8814;Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade;201602;dez-jan-fev 2016
